,Long,Short
2019-01-02,-0.00421100765105491,1.0
2019-01-03,0.0024866896840230026,1.0
2019-01-04,0.004628978805433936,1.0
2019-01-07,-8.159621401166994e-05,1.0
2019-01-08,0.0012567181770326342,1.0
2019-01-09,-0.000935269216807344,1.0
2019-01-10,0.0057648563426344725,1.0
2019-01-11,0.0004366707899696731,1.0
2019-01-14,-0.002703593675297644,1.0
2019-01-15,0.004300261834958708,1.0
2019-01-16,0.001531854246122366,1.0
2019-01-17,0.005114775908854008,1.0
2019-01-18,-0.0003279894532177474,1.0
2019-01-22,-0.0004655212682208143,1.0
2019-01-23,0.0032111360135592014,1.0
2019-01-24,-0.0011127233303415362,1.0
2019-01-25,-0.0050326340984697794,1.0
2019-01-28,0.0007608131718158107,1.0
2019-01-29,0.0027003110310022116,1.0
2019-01-30,0.008311779508948503,1.0
2019-01-31,0.013931761593678704,1.0
2019-02-01,0.001515790627090241,1.0
2019-02-04,0.005304543536952022,1.0
2019-02-05,0.0008448617217215349,1.0
2019-02-06,-0.00034005628624349525,1.0
2019-02-07,0.005394687258668962,1.0
2019-02-08,0.006350290526908687,1.0
2019-02-11,0.003193134163245326,1.0
2019-02-12,0.00036943208014216243,1.0
2019-02-13,0.003386460772755484,1.0
2019-02-14,-0.000897677363757865,1.0
2019-02-15,0.0054411500317958494,1.0
2019-02-19,0.0036400384165394817,1.0
2019-02-20,0.004846120590947367,1.0
2019-02-21,0.00843226063516066,1.0
2019-02-22,0.003482653365941357,1.0
2019-02-25,-0.004668283659025418,1.0
2019-02-26,0.001310642085217828,1.0
2019-02-27,0.0015475146412431751,1.0
2019-02-28,-0.00038928169087074636,1.0
2019-03-01,-0.0001863252419347372,1.0
2019-03-04,-0.004021841864571008,1.0
2019-03-05,-0.0009613764999346408,1.0
2019-03-06,-0.0033140115576131167,1.0
2019-03-07,-0.0005475209649436375,1.0
2019-03-08,0.0018200650628033776,1.0
2019-03-11,0.004815110371794729,1.0
2019-03-12,0.00013501086953501273,1.0
2019-03-13,0.0025980528492115075,1.0
