Symbol,Month,Year
MMM,1,1990
AOS,1,1990
ABT,1,1990
ABBV,1,1990
ACN,1,1990
ADBE,1,1990
AMD,1,1990
AES,1,1990
AFL,1,1990
A,1,1990
APD,1,1990
ABNB,1,1990
AKAM,1,1990
ALB,1,1990
ARE,1,1990
ALGN,1,1990
ALLE,1,1990
LNT,1,1990
ALL,1,1990
GOOGL,1,1990
GOOG,1,1990
MO,1,1990
AMZN,1,1990
AMCR,1,1990
AMTM,1,1990
AEE,1,1990
AEP,1,1990
AXP,1,1990
AIG,1,1990
AMT,1,1990
AWK,1,1990
AMP,1,1990
AME,1,1990
AMGN,1,1990
APH,1,1990
ADI,1,1990
ANSS,1,1990
AON,1,1990
APA,1,1990
AAPL,1,1990
AMAT,1,1990
APTV,1,1990
ACGL,1,1990
ADM,1,1990
ANET,1,1990
AJG,1,1990
AIZ,1,1990
T,1,1990
ATO,1,1990
ADSK,1,1990
ADP,1,1990
AZO,1,1990
AVB,1,1990
AVY,1,1990
AXON,1,1990
BKR,1,1990
BALL,1,1990
BAC,1,1990
BAX,1,1990
BDX,1,1990
BRK.B,1,1990
BBY,1,1990
TECH,1,1990
BIIB,1,1990
BLK,1,1990
BX,1,1990
BK,1,1990
BA,1,1990
BKNG,1,1990
BWA,1,1990
BSX,1,1990
BMY,1,1990
AVGO,1,1990
BR,1,1990
BRO,1,1990
BF.B,1,1990
BLDR,1,1990
BG,1,1990
BXP,1,1990
CHRW,1,1990
CDNS,1,1990
CZR,1,1990
CPT,1,1990
CPB,1,1990
COF,1,1990
CAH,1,1990
KMX,1,1990
CCL,1,1990
CARR,1,1990
CTLT,1,1990
CAT,1,1990
CBOE,1,1990
CBRE,1,1990
CDW,1,1990
CE,1,1990
COR,1,1990
CNC,1,1990
CNP,1,1990
CF,1,1990
CRL,1,1990
SCHW,1,1990
CHTR,1,1990
CVX,1,1990
CMG,1,1990
CB,1,1990
CHD,1,1990
CI,1,1990
CINF,1,1990
CTAS,1,1990
CSCO,1,1990
C,1,1990
CFG,1,1990
CLX,1,1990
CME,1,1990
CMS,1,1990
KO,1,1990
CTSH,1,1990
CL,1,1990
CMCSA,1,1990
CAG,1,1990
COP,1,1990
ED,1,1990
STZ,1,1990
CEG,1,1990
COO,1,1990
CPRT,1,1990
GLW,1,1990
CPAY,1,1990
CTVA,1,1990
CSGP,1,1990
COST,1,1990
CTRA,1,1990
CRWD,1,1990
CCI,1,1990
CSX,1,1990
CMI,1,1990
CVS,1,1990
DHR,1,1990
DRI,1,1990
DVA,1,1990
DAY,1,1990
DECK,1,1990
DE,1,1990
DELL,1,1990
DAL,1,1990
DVN,1,1990
DXCM,1,1990
FANG,1,1990
DLR,1,1990
DFS,1,1990
DG,1,1990
DLTR,1,1990
D,1,1990
DPZ,1,1990
DOV,1,1990
DOW,1,1990
DHI,1,1990
DTE,1,1990
DUK,1,1990
DD,1,1990
EMN,1,1990
ETN,1,1990
EBAY,1,1990
ECL,1,1990
EIX,1,1990
EW,1,1990
EA,1,1990
ELV,1,1990
EMR,1,1990
ENPH,1,1990
ETR,1,1990
EOG,1,1990
EPAM,1,1990
EQT,1,1990
EFX,1,1990
EQIX,1,1990
EQR,1,1990
ERIE,1,1990
ESS,1,1990
EL,1,1990
EG,1,1990
EVRG,1,1990
ES,1,1990
EXC,1,1990
EXPE,1,1990
EXPD,1,1990
EXR,1,1990
XOM,1,1990
FFIV,1,1990
FDS,1,1990
FICO,1,1990
FAST,1,1990
FRT,1,1990
FDX,1,1990
FIS,1,1990
FITB,1,1990
FSLR,1,1990
FE,1,1990
FI,1,1990
FMC,1,1990
F,1,1990
FTNT,1,1990
FTV,1,1990
FOXA,1,1990
FOX,1,1990
BEN,1,1990
FCX,1,1990
GRMN,1,1990
IT,1,1990
GE,1,1990
GEHC,1,1990
GEV,1,1990
GEN,1,1990
GNRC,1,1990
GD,1,1990
GIS,1,1990
GM,1,1990
GPC,1,1990
GILD,1,1990
GPN,1,1990
GL,1,1990
GDDY,1,1990
GS,1,1990
HAL,1,1990
HIG,1,1990
HAS,1,1990
HCA,1,1990
DOC,1,1990
HSIC,1,1990
HSY,1,1990
HES,1,1990
HPE,1,1990
HLT,1,1990
HOLX,1,1990
HD,1,1990
HON,1,1990
HRL,1,1990
HST,1,1990
HWM,1,1990
HPQ,1,1990
HUBB,1,1990
HUM,1,1990
HBAN,1,1990
HII,1,1990
IBM,1,1990
IEX,1,1990
IDXX,1,1990
ITW,1,1990
INCY,1,1990
IR,1,1990
PODD,1,1990
INTC,1,1990
ICE,1,1990
IFF,1,1990
IP,1,1990
IPG,1,1990
INTU,1,1990
ISRG,1,1990
IVZ,1,1990
INVH,1,1990
IQV,1,1990
IRM,1,1990
JBHT,1,1990
JBL,1,1990
JKHY,1,1990
J,1,1990
JNJ,1,1990
JCI,1,1990
JPM,1,1990
JNPR,1,1990
K,1,1990
KVUE,1,1990
KDP,1,1990
KEY,1,1990
KEYS,1,1990
KMB,1,1990
KIM,1,1990
KMI,1,1990
KKR,1,1990
KLAC,1,1990
KHC,1,1990
KR,1,1990
LHX,1,1990
LH,1,1990
LRCX,1,1990
LW,1,1990
LVS,1,1990
LDOS,1,1990
LEN,1,1990
LLY,1,1990
LIN,1,1990
LYV,1,1990
LKQ,1,1990
LMT,1,1990
L,1,1990
LOW,1,1990
LULU,1,1990
LYB,1,1990
MTB,1,1990
MRO,1,1990
MPC,1,1990
MKTX,1,1990
MAR,1,1990
MMC,1,1990
MLM,1,1990
MAS,1,1990
MA,1,1990
MTCH,1,1990
MKC,1,1990
MCD,1,1990
MCK,1,1990
MDT,1,1990
MRK,1,1990
META,1,1990
MET,1,1990
MTD,1,1990
MGM,1,1990
MCHP,1,1990
MU,1,1990
MSFT,1,1990
MAA,1,1990
MRNA,1,1990
MHK,1,1990
MOH,1,1990
TAP,1,1990
MDLZ,1,1990
MPWR,1,1990
MNST,1,1990
MCO,1,1990
MS,1,1990
MOS,1,1990
MSI,1,1990
MSCI,1,1990
NDAQ,1,1990
NTAP,1,1990
NFLX,1,1990
NEM,1,1990
NWSA,1,1990
NWS,1,1990
NEE,1,1990
NKE,1,1990
NI,1,1990
NDSN,1,1990
NSC,1,1990
NTRS,1,1990
NOC,1,1990
NCLH,1,1990
NRG,1,1990
NUE,1,1990
NVDA,1,1990
NVR,1,1990
NXPI,1,1990
ORLY,1,1990
OXY,1,1990
ODFL,1,1990
OMC,1,1990
ON,1,1990
OKE,1,1990
ORCL,1,1990
OTIS,1,1990
PCAR,1,1990
PKG,1,1990
PLTR,1,1990
PANW,1,1990
PARA,1,1990
PH,1,1990
PAYX,1,1990
PAYC,1,1990
PYPL,1,1990
PNR,1,1990
PEP,1,1990
PFE,1,1990
PCG,1,1990
PM,1,1990
PSX,1,1990
PNW,1,1990
PNC,1,1990
POOL,1,1990
PPG,1,1990
PPL,1,1990
PFG,1,1990
PG,1,1990
PGR,1,1990
PLD,1,1990
PRU,1,1990
PEG,1,1990
PTC,1,1990
PSA,1,1990
PHM,1,1990
QRVO,1,1990
PWR,1,1990
QCOM,1,1990
DGX,1,1990
RL,1,1990
RJF,1,1990
RTX,1,1990
O,1,1990
REG,1,1990
REGN,1,1990
RF,1,1990
RSG,1,1990
RMD,1,1990
RVTY,1,1990
ROK,1,1990
ROL,1,1990
ROP,1,1990
ROST,1,1990
RCL,1,1990
SPGI,1,1990
CRM,1,1990
SBAC,1,1990
SLB,1,1990
STX,1,1990
SRE,1,1990
NOW,1,1990
SHW,1,1990
SPG,1,1990
SWKS,1,1990
SJM,1,1990
SW,1,1990
SNA,1,1990
SOLV,1,1990
SO,1,1990
LUV,1,1990
SWK,1,1990
SBUX,1,1990
STT,1,1990
STLD,1,1990
STE,1,1990
SYK,1,1990
SMCI,1,1990
SYF,1,1990
SNPS,1,1990
SYY,1,1990
TMUS,1,1990
TROW,1,1990
TTWO,1,1990
TPR,1,1990
TRGP,1,1990
TGT,1,1990
TEL,1,1990
TDY,1,1990
TFX,1,1990
TER,1,1990
TSLA,1,1990
TXN,1,1990
TXT,1,1990
TMO,1,1990
TJX,1,1990
TSCO,1,1990
TT,1,1990
TDG,1,1990
TRV,1,1990
TRMB,1,1990
TFC,1,1990
TYL,1,1990
TSN,1,1990
USB,1,1990
UBER,1,1990
UDR,1,1990
ULTA,1,1990
UNP,1,1990
UAL,1,1990
UPS,1,1990
URI,1,1990
UNH,1,1990
UHS,1,1990
VLO,1,1990
